market,market_logo_url
Steam,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-steam.png
Skinport,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-skinport.png
CS.Money,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-csmoney.png
SkinBaron,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-skinbaron.png
DMarket,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-dmarket.png
SkinsMonkey,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-skinsmonkey.png
CSFloat,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-csfloat.png
Tradeit.gg,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-tradeitgg-2.png
Skinflow,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-skinflow-v2.png
Market_37,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-skinland.png
Skinswap,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-skinswap.png
MarketCSGO,https://s3.eu-west-3.amazonaws.com/skinsnipe.com/img/common/logos/markets/logo-marketcsgo-2.png
